@id,socrata:rowID{Literal},rdf:type{URIRef},rdfs:member{URIRef},ds:consent_cases{Literal},ds:consent_deaths{Literal},ds:created_at{Literal},ds:new_case{Literal},ds:new_death{Literal},ds:state{Literal},ds:submission_date{Literal},ds:tot_cases{Literal},ds:tot_death{Literal},ds:conf_cases{Literal},ds:conf_death{Literal},ds:pnew_case{Literal},ds:pnew_death{Literal},ds:prob_cases{Literal},ds:prob_death{Literal}
ds:row-ipnr.duja-hmi2,row-ipnr.duja-hmi2,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Agree,2020-06-25T00:00:00,1400.0,5.0,MI,2020-06-24T00:00:00,117413,6260,106791.0,5954.0,188,0,10622,306
ds:row-iprz-hm3b_44mz,row-iprz-hm3b_44mz,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Agree,2021-09-20T12:14:02,603.0,2.0,NE,2021-09-18T00:00:00,258993,2375,258993.0,2375.0,0,0,0,0
ds:row-j3x6-4a7d-etk3,row-j3x6-4a7d-etk3,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Not agree,Not agree,2021-03-08T14:47:36,2.0,0.0,GU,2021-03-07T00:00:00,7751,133,,,0,0,,
ds:row-j4nb_t4u5-kgg9,row-j4nb_t4u5-kgg9,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Agree,2020-03-26T16:22:39,0.0,0.0,ID,2020-03-09T00:00:00,0,0,,,,,,
ds:row-je9k_vdiv-5qq4,row-je9k_vdiv-5qq4,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Agree,2021-08-20T13:21:34,192.0,0.0,ME,2021-08-19T00:00:00,73461,921,53293.0,860.0,62,0,20168,61
ds:row-jgd7.asg4-2xs5,row-jgd7.asg4-2xs5,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Agree,2020-03-26T16:22:39,0.0,0.0,CT,2020-02-24T00:00:00,0,0,,,,,,
ds:row-jjt5.xm9j.dyd9,row-jjt5.xm9j.dyd9,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Not agree,Not agree,2021-10-04T13:57:57,430.0,1.0,NH,2021-10-03T00:00:00,121623,1483,,,0,0,,
ds:row-jmj5.bzqy-gk6a,row-jmj5.bzqy-gk6a,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Agree,2021-07-19T00:00:00,915.0,3.0,AL,2021-07-17T00:00:00,563091,11570,431921.0,9214.0,290,0,131170,2356
ds:row-jun9.vsi2.43v7,row-jun9.vsi2.43v7,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Agree,2021-08-19T15:10:12,1685.0,17.0,WI,2021-08-18T00:00:00,710975,8353,641553.0,7499.0,380,1,69422,854
ds:row-jv8r_vfqe.he83,row-jv8r_vfqe.he83,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Not agree,Not agree,2020-04-13T16:22:39,71.0,4.0,NH,2020-04-14T00:00:00,1091,27,,,,,,
ds:row-jwax.jut4_bwmq,row-jwax.jut4_bwmq,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Not agree,2020-09-10T14:02:53,333.0,3.0,ND,2020-09-09T00:00:00,14443,160,14443.0,,0,0,0,
ds:row-jx57-9jk5-wkib,row-jx57-9jk5-wkib,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Not agree,Not agree,2020-11-01T00:00:00,19.0,0.0,VT,2020-10-30T00:00:00,2000,57,,,2,0,,
ds:row-jxdf_3d3g_iq55,row-jxdf_3d3g_iq55,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Agree,2020-08-10T00:00:00,771.0,43.0,AL,2020-08-08T00:00:00,112216,2647,102751.0,2376.0,147,11,9465,271
ds:row-k2ux.6qh8-j6st,row-k2ux.6qh8-j6st,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Not agree,Not agree,2021-10-12T14:00:10,213.0,1.0,NH,2021-10-11T00:00:00,124845,1498,,,0,0,,
ds:row-k5bu-utjy.uwx8,row-k5bu-utjy.uwx8,dsbase:_9mfq-cb36,dsbase:_9mfq-cb36,Agree,Agree,2021-07-06T00:00:00,109.0,6.0,MS,2021-07-04T00:00:00,322886,7504,197442.0,5172.0,45,1,125444,2332
